date,region,product,combined_name,volume_mmcfd
11/18/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,305
11/18/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4012
11/18/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1793
11/18/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3588
11/18/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,933
11/18/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,655
11/18/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,306
11/18/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,892
11/18/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,390
11/18/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3947
11/18/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1793
11/18/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,655
11/18/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,8516
11/18/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,526
11/18/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4767
11/18/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1873
11/18/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-526
11/18/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6906
11/18/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1239
11/18/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,487
11/18/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,967
11/17/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,387
11/17/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4245
11/17/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,108
11/17/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3677
11/17/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1740
11/17/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4245
11/17/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,307
11/17/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1934
11/17/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,348
11/17/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3677
11/17/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,635
11/17/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1198
11/17/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,851
11/17/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3925
11/17/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,387
11/17/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,635
11/17/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1934
11/17/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4959
11/17/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1740
11/17/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,602
11/17/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7976
11/17/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,601
11/17/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-602
11/17/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1276
11/17/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1546
11/17/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6744
11/16/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4107
11/16/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1839
11/16/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3593
11/16/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,131
11/16/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,385
11/16/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,302
11/16/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1985
11/16/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4107
11/16/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,637
11/16/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3593
11/16/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,380
11/16/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,718
11/16/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,998
11/16/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3964
11/16/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1985
11/16/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,385
11/16/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,637
11/16/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7737
11/16/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,389
11/16/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4852
11/16/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1839
11/16/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1303
11/16/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1378
11/16/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6815
11/16/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-389
11/16/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,585
11/15/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,114
11/15/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4127
11/15/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3584
11/15/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,371
11/15/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1943
11/15/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4127
11/15/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1822
11/15/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,302
11/15/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3584
11/15/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,382
11/15/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,718
11/15/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,650
11/15/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,862
11/15/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,371
11/15/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3921
11/15/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,650
11/15/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1822
11/15/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7667
11/15/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1943
11/15/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5166
11/15/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,668
11/15/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,530
11/15/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1450
11/15/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1244
11/15/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-668
11/15/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,7017
11/14/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1929
11/14/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4267
11/14/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,381
11/14/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,134
11/14/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3683
11/14/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4267
11/14/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,279
11/14/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1950
11/14/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3683
11/14/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,633
11/14/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,359
11/14/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,823
11/14/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,711
11/14/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1950
11/14/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,381
11/14/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3923
11/14/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,633
11/14/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4938
11/14/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,586
11/14/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1929
11/14/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,8156
11/14/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1182
11/14/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,624
11/14/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-586
11/14/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6963
11/14/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1934
11/13/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4242
11/13/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,382
11/13/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1939
11/13/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3591
11/13/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,136
11/13/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1950
11/13/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4242
11/13/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,380
11/13/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,789
11/13/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,360
11/13/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3591
11/13/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,614
11/13/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,713
11/13/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3967
11/13/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,614
11/13/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1950
11/13/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,382
11/13/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,598
11/13/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4604
11/13/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,8281
11/13/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1939
11/13/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1149
11/13/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-598
11/13/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,7002
11/13/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1786
11/13/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,675
11/12/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3551
11/12/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1912
11/12/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4248
11/12/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,382
11/12/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,124
11/12/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1950
11/12/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4248
11/12/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,381
11/12/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3551
11/12/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,618
11/12/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,353
11/12/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,716
11/12/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,734
11/12/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3911
11/12/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1950
11/12/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,618
11/12/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,382
11/12/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4876
11/12/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,486
11/12/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,8075
11/12/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1912
11/12/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,591
11/12/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1087
11/12/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,7009
11/12/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-486
11/12/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1800
11/11/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1956
11/11/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4404
11/11/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3616
11/11/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,134
11/11/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,381
11/11/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1937
11/11/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4404
11/11/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,426
11/11/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3616
11/11/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,711
11/11/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,364
11/11/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,709
11/11/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,620
11/11/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1937
11/11/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3904
11/11/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,381
11/11/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,620
11/11/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7873
11/11/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,266
11/11/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,4985
11/11/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1956
11/11/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1073
11/11/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-266
11/11/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,7151
11/11/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,1824
11/11/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,625
11/10/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4467
11/10/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2076
11/10/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3708
11/10/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,385
11/10/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,129
11/10/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,445
11/10/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4467
11/10/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1888
11/10/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3708
11/10/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,294
11/10/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,638
11/10/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,186
11/10/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,333
11/10/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,638
11/10/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3888
11/10/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1888
11/10/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,385
11/10/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5185
11/10/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7624
11/10/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-2076
11/10/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,-587
11/10/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,950
11/10/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,587
11/10/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,7162
11/10/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,568
11/10/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,627
11/9/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1851
11/9/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4433
11/9/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,155
11/9/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3632
11/9/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,392
11/9/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4433
11/9/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,431
11/9/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1957
11/9/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,816
11/9/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3632
11/9/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,185
11/9/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,283
11/9/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,639
11/9/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3633
11/9/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,392
11/9/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1957
11/9/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,639
11/9/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5347
11/9/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7640
11/9/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-1851
11/9/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,-547
11/9/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1100
11/9/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,226
11/9/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6675
11/9/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,547
11/9/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,894
11/8/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,390
11/8/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3769
11/8/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,173
11/8/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2057
11/8/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4605
11/8/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4605
11/8/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1974
11/8/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,434
11/8/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3769
11/8/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,443
11/8/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,616
11/8/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,176
11/8/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,599
11/8/2022,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,616
11/8/2022,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3598
11/8/2022,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1974
11/8/2022,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,390
11/8/2022,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7516
11/8/2022,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5475
11/8/2022,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,-315
11/8/2022,Texas,Net Flows to Western,Texas: Net Flows to Western,-2057
11/8/2022,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,348
11/8/2022,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1042
11/8/2022,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,639
11/8/2022,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6250
11/8/2022,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,315
11/7/2022,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,163
11/7/2022,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,377
11/7/2022,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4536
11/7/2022,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3824
11/7/2022,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2109
11/7/2022,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1954
11/7/2022,California,Net Flows to Mexico,California: Net Flows to Mexico,419
11/7/2022,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4536
11/7/2022,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,448
11/7/2022,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,615
11/7/2022,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3824
11/7/2022,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,201
11/7/2022,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,465
