date,region,product,combined_name,volume_mmcfd
3/18/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1934
3/18/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,351
3/18/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3125
3/18/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,573
3/18/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,408
3/18/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,238
3/18/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1172
3/18/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3996
3/18/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,408
3/18/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1934
3/18/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,309
3/18/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5523
3/18/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,1236
3/18/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7578
3/18/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1978
3/18/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1745
3/18/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-1236
3/18/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5916
3/18/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,38
3/18/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,626
3/17/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3158
3/17/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4213
3/17/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,208
3/17/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,322
3/17/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1906
3/17/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4213
3/17/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,366
3/17/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1977
3/17/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3158
3/17/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,562
3/17/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,417
3/17/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,238
3/17/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1104
3/17/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1977
3/17/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,322
3/17/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,417
3/17/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4022
3/17/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5712
3/17/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,1115
3/17/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7410
3/17/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1906
3/17/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1666
3/17/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,720
3/17/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5949
3/17/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-1115
3/17/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-121
3/16/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4206
3/16/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,208
3/16/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1880
3/16/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,319
3/16/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3129
3/16/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,360
3/16/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4206
3/16/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1965
3/16/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,453
3/16/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1095
3/16/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3129
3/16/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,570
3/16/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,238
3/16/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4019
3/16/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,319
3/16/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1965
3/16/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,453
3/16/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7393
3/16/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5827
3/16/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,305
3/16/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1880
3/16/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6043
3/16/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1665
3/16/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-305
3/16/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,829
3/16/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-145
3/15/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,252
3/15/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4324
3/15/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3259
3/15/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,240
3/15/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1937
3/15/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,401
3/15/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4324
3/15/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1877
3/15/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,514
3/15/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,510
3/15/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,178
3/15/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3259
3/15/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,669
3/15/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4060
3/15/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1877
3/15/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,252
3/15/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,510
3/15/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5958
3/15/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,224
3/15/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1937
3/15/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7086
3/15/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,898
3/15/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-224
3/15/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-368
3/15/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1183
3/15/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6250
3/14/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2031
3/14/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4315
3/14/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3165
3/14/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,209
3/14/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,222
3/14/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4315
3/14/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,352
3/14/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1844
3/14/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,565
3/14/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3165
3/14/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,528
3/14/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,188
3/14/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,763
3/14/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4067
3/14/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,222
3/14/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1844
3/14/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,565
3/14/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7390
3/14/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2031
3/14/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,265
3/14/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5759
3/14/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-438
3/14/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1290
3/14/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,6120
3/14/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-265
3/14/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,904
3/13/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3004
3/13/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,219
3/13/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,169
3/13/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4225
3/13/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2019
3/13/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4225
3/13/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1828
3/13/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,354
3/13/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3004
3/13/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,585
3/13/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,489
3/13/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,189
3/13/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1139
3/13/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,219
3/13/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4096
3/13/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,489
3/13/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1828
3/13/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7716
3/13/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2019
3/13/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5886
3/13/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,167
3/13/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,991
3/13/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-167
3/13/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1724
3/13/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5489
3/13/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-407
3/12/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1958
3/12/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4253
3/12/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,216
3/12/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,2990
3/12/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,199
3/12/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4253
3/12/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1850
3/12/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,327
3/12/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,631
3/12/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,2990
3/12/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,514
3/12/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1275
3/12/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,267
3/12/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1850
3/12/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,216
3/12/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4069
3/12/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,514
3/12/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,138
3/12/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5649
3/12/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7720
3/12/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1958
3/12/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1906
3/12/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,969
3/12/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-138
3/12/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5405
3/12/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,31
3/11/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4235
3/11/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2030
3/11/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3021
3/11/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,216
3/11/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,224
3/11/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4235
3/11/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1797
3/11/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,332
3/11/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,375
3/11/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,556
3/11/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1347
3/11/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,537
3/11/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3021
3/11/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4016
3/11/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,537
3/11/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,216
3/11/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1797
3/11/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7739
3/11/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,-204
3/11/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5727
3/11/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2030
3/11/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,204
3/11/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1904
3/11/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5711
3/11/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,39
3/11/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,1017
3/10/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3087
3/10/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2109
3/10/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4256
3/10/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,209
3/10/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,221
3/10/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4256
3/10/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1790
3/10/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,299
3/10/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3087
3/10/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,542
3/10/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,559
3/10/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,375
3/10/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1337
3/10/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,542
3/10/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3988
3/10/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1790
3/10/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,209
3/10/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7811
3/10/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,136
3/10/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5528
3/10/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2109
3/10/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1896
3/10/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5654
3/10/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,1045
3/10/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,79
3/10/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-136
3/9/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4343
3/9/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2172
3/9/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3080
3/9/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,221
3/9/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,196
3/9/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1781
3/9/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4343
3/9/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,339
